"RefDes";"Name";"Part";"Value";"Quantity";"desc"
"B2";"BR1225A/HB";"Part 1";"";"1";""
"C1";"CAP_0603";"Part 1";"100n";"1";""
"C2";"CAP_0603";"Part 1";"100n";"1";""
"C3";"CAP_0603";"Part 1";"100n";"1";""
"C4";"CAP_0603";"Part 1";"100n";"1";""
"C5";"CAP_0603";"Part 1";"100n";"1";""
"C6";"CAP_0603";"Part 1";"100n";"1";""
"C7";"CAP_0603";"Part 1";"100n";"1";""
"C8";"CAP_0603";"Part 1";"100n";"1";""
"C9";"CAP_0603";"Part 1";"10n";"1";""
"C10";"CAP_0603";"Part 1";"100n";"1";""
"C11";"CAP_1206";"Part 1";"4u7";"1";""
"C12";"CAP_0603";"Part 1";"100n";"1";""
"C13";"CAP_1206";"Part 1";"22u";"1";""
"C14";"CAP_1206";"Part 1";"10u";"1";""
"C15";"CAP_1206";"Part 1";"10u";"1";""
"C16";"CAP_0805";"Part 1";"10u";"1";""
"C17";"CAP_0805";"Part 1";"10u";"1";""
"C18";"CAP_0603";"Part 1";"100n";"1";""
"C19";"CAP_0603";"Part 1";"100n";"1";""
"C20";"CAP_0603";"Part 1";"100n";"1";""
"C21";"CAP_0603";"Part 1";"100p";"1";""
"C22";"CAP_1206";"Part 1";"4u7";"1";""
"C23";"CAP_0603";"Part 1";"100p";"1";""
"C24";"CAP_1206";"Part 1";"4u7";"1";""
"C25";"CAP_1206";"Part 1";"10u";"1";""
"C26";"CAP_0603";"Part 1";"";"1";""
"C27";"CAP_0603";"Part 1";"47n";"1";""
"C28";"CAP_1206";"Part 1";"";"1";""
"D1";"DIODE_0603";"Part 1";"";"1";"5V"
"D2";"DIODE_0603";"Part 1";"";"1";"3V3"
"D3";"DIODE_0603";"Part 1";"";"1";"ERROR"
"D4";"DIODE_0603";"Part 1";"";"1";"AUTO"
"J1";"TSW-109-08-T-T-RA";"Part 1";"";"1";""
"J2";"TSW-109-08-T-T-RA";"Part 1";"";"1";""
"J3";"TSW-103-08-T-T-RA";"Part 1";"";"1";""
"J4";"TSW-103-08-T-T-RA";"Part 1";"";"1";""
"J5";"OSTTC020162";"Part 1";"";"1";""
"J6";"87230-5";"Part 1";"";"1";""
"J7";"90131-0129";"Part 1";"";"1";""
"J8";"644456-2";"Part 1";"";"1";""
"J9";"90131-0123";"Part 1";"PDI";"1";""
"J10";"OSTVN03A150";"Part 1";"";"1";""
"J11";"644456-2";"Part 1";"";"1";""
"J12";"644456-2";"Part 1";"";"1";""
"J13";"644456-3";"Part 1";"";"1";""
"L1";"IND_0603";"Part 1";"";"1";""
"L2";"SRN6028";"Part 1";"3u3";"1";""
"L3";"IND_1206";"Part 1";"";"1";""
"Q1";"ULN2003L";"Part 1";"";"1";""
"R1";"RES_0603";"Part 1";"10K";"1";""
"R2";"RES_0603";"Part 1";"43K";"1";""
"R3";"RES_0603";"Part 1";"8K2";"1";""
"R4";"RES_0603";"Part 1";"270R";"1";""
"R5";"RES_0603";"Part 1";"120R";"1";""
"R6";"RES_0603";"Part 1";"";"1";""
"R7";"RES_0603";"Part 1";"";"1";""
"R8";"RES_0603";"Part 1";"100K";"1";""
"R9";"RES_0603";"Part 1";"1K";"1";""
"R10";"RES_0603";"Part 1";"100K";"1";""
"R11";"RES_0603";"Part 1";"1K";"1";""
"R12";"RES_0603";"Part 1";"";"1";""
"R13";"RES_0603";"Part 1";"";"1";""
"R14";"RES_0603";"Part 1";"";"1";""
"R15";"RES_0603";"Part 1";"";"1";""
"R16";"RES_0603";"Part 1";"";"1";""
"R17";"RES_0603";"Part 1";"10R";"1";""
"R18";"RES_0603";"Part 1";"10K";"1";""
"R19";"RES_0603";"Part 1";"10K";"1";""
"RASP1";"RASPBERRY_B+";"Part 1";"";"1";""
"U1";"ATxmega128A1-AU";"Part 1";"";"1";""
"U2";"MAX485ESA";"Part 1";"";"1";""
"U3";"ST1S10Pxx";"Part 1";"";"1";""
"U4";"REG1117-3.3";"Part 1";"";"1";""
"U5";"DS1307Z";"Part 1";"";"1";""
"U6";"LM386M-1";"Part 1";"";"1";""
"U7";"LM358D";"Part 1";"";"1";""
"U8";"LM393D";"Part 1";"";"1";""
"Y1";"TC38H";"Part 1";"32KHz";"1";""
